text,label
"Lyssna på Folksams skadeförebyggare Erik Arvidsson när han ger råd om hur du skyddar cykeln mot cykelstölder i @P4Kronoberg . 22 min in i programmet. https://t.co/HU0DA44JXo
Fler tips och information finns här: https://t.co/m2Fyqp4Hka                                                                                                                                                                                                                                                                          ",2
Thailändska killar kan ju vara det sötaste ever,3
Behöver under veckan fatta beslut om jag skall springa varvjävlet på lördag,2
<ID> I Tekniska var (S) argument att principerna skulle följas av alla. Oberoende av konsekvenser.,2
Författaren Saleem Haddad ( <ID> har skrivit en väldigt fin text för oss om hbtq-hatet i Egypten och om hopp. <URL>,3
" Skulle du kalla det ett ""hemland"" om du var född där men inte varit där sedan dess? Det är så himla enkelt sluta bara.",2
@SkandiaSE tänker... Nu har det ju gått några timmar. Er monitorering av ert system har utlöst larm som och er jourpersonal har fixat felet. Icke. Provar att ta bort betalningen. För att göra på nätet. Då ligger den kvar där. Lite eventual consistency kan man dock leva med.                                                                                                                                                                                                                                  ,1
Nu är dottern på dykäventyr igen! Och hade hennes dykkompis vetat att jag skulle komma så hade… <URL>,3
@BjorklundVictor @SkandiaSE Har erfarenhet från 5 olika Internetbanker. Ingen fixar detta helt online. Alla vill skicka ut kod på papper med rekommenderat brev.                                                                                                                                                                                                                                                                                                                                                    ,2
"Öppen tweet till Oskar Svensson på Trygg-Hansa. Ditt mail har inte kommit än. Du måste ha skickat till fel adress. Ring mig är du snäll. Jag skulle kunna ringa själv, men du vet hur det är.                                                                                                                                                                                                                                                                                                                       ",2
<ID> alltså vad förväntar du dig Hänger ut mig med namn i din blogg och muppar som värsta ADHDungen vad jag än skriver Kärlek,1
De kunde inte ens få till alviskan korrekt Noobs  <URL>,1
" Det är tydligen inte endast SD, Trump och ""alternativa medier"" som spontant går Rysslands ärenden. <URL>",1
<ID> Han är på rätt väg men bäst Jag vet inte,3
<ID> Tänk om man kunde få se vettigt försvarspel nån gång.,2
<ID> Just så Skrattretande inte upphetsande inte spännande inte romantisk,1
<ID> inte då gör som  <ID> säger   <ID>  <ID>,2
Coldplay 5/5 helvete vad fint,3
<ID> Tack det här var bra,3
Snabb Nordenrunda för Vorum  <URL>  <URL>,2
<ID> Läser du platsannonser,2
" <ID> Aha, jo, det gör de nog...",2
<ID> Inbillade mig att det går väl över...,2
" 1,8 miljoner euro beviljat för reparation av brandskadade vägar på Gran Canaria <URL>",2
@jor6en Den har tydligen inte AVTAL med @Folksam. Så nu ska vi bärgas om? Vilket kan ta hela jävla dan?                                                                                                                                                                                                                                                                                                                                                                                                             ,1
Stuvsta gör även 2-0,2
<ID> Asså samlingen heter Evolution,2
<ID> Träffar dig idag boo,3
<ID> Älskar sig Calle men gillat du verkligen när Steffo klankar ner på fölket mer än den där Daniel R  <URL>,3
" <ID> Haha, så kan vi ju inte ha det! ;)",1
Öster-maffian på plats i Prioritet Serneke Arena för 2 dagars konferens med Tipselittränare och sportchefer från he… <URL>,2
"Du missar väl inte när ⁦@Cancerfonden⁩ och ⁦@SkandiaSE⁩ diskuterar fysisk aktivitet för bättre hälsa, tisdag 3 juli kl. 14.45 i Skandias trädgård #tillsammansmotcancer #vårdpol #cancerforskning ⁦@ulrikaarehed⁩ ⁦@AnderssonPamela⁩ ⁦@AgnetaKarlsson⁩ https://t.co/SI5vB6F4Mh                                                                                                                                                                                                                                      ",2
Hälften av alla svenskar planerar byggprojekt i sommar - If Skadeförsäkring https://t.co/tZyEH1VUEm                                                                                                                                                                                                                                                                                                                                                                                                                 ,2
@SkandiaSE inte sms lån                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2
Tänk ångesten för dem som lämna arenan,1
Så otroligt viktigtRegeringen satsar miljoner på samers hälsa  <URL> via  <ID>,3
Uppgifter: Chaufförer för Ikea tvingas bo i bilen <URL>,1
Toscano på kajen. För returen på Moccagatta. <URL>,2
Nä men att ha 30 pers i kö till ett pass där det går in 25 suck,1
Reading får fan inte gå upp. Osportsligt sketgäng!,1
<ID>  <ID> Jodå det skall man visst det När det är en fullt korrekt benämning på ett fullt adekvat objekt,2
" <ID> Ja, dom får skylla sej själva.",1
" TinTIn heter TanTan på japanska, eftersom TinTin uttalas ""Chin Chin"" och är smeknamn för penis <HASCHTAG>",2
<ID> va fina ord peter! Många minnen har vi,3
Ser Graven och Ragnerstam är urstark som vanligt,3
Frukost för dig som är intresserad av klimatberäkning och hållbarhetsredovisning  <HASCHTAG>  <URL>,2
<ID> Framförallt så ville ju Besara till bajen när han kom hem men Jingan tyckte inte vi behövde spelartypen Humor,2
Sorge- och kärleksmanifestationerna har varit fina. Men efter dem är det dags för konkreta åtgärder: <URL> <HASCHTAG>,2
<ID> Fy fan va tidigt. Så sugen nu!!,3
Jag kommer i eftermiddag att som helgläsning publicera en intervju med VD/grundaren till ett svenskt bolag som har lyckats med det omöjliga.,2
Ja tyvärr I längden hoppas jag att förnuftet kommer att segra  <URL>,1
New post: Tysk kvinna dog i drunkningsolycka på Playa de Mogan <URL>,2
<ID> Det är alltid så pressat schema. Men jag kommer till Norrtälje några av mellandagarna. Då är det dags va?,2
<ID> Straxt därefter är det Via Latteas tur på Valla i lopp 2 spår 4. Överraskande galopp senast. Tränat bra… <URL>,3
Stängt i USA på måndag US Holiday: Martin Luther King Jr Day All Markets Closed,2
Till finalen har Hanna klätt sig i en diskokula och Chris i Roger Pontares gamla pyjamas  <HASCHTAG>,2
Årets humanistiska konfaläger nu avslutade Här ett reportage från radions Människor och tro  <URL>,2
<ID> Jo tror Danmark e första valet pga skattereglerna.,2
Idag håller vi tummarna för vår samarbetspartner <ID> & hans connections i det 92:a Hambletonian stakes på the Big M ✊️,1
Personalfrågor i fokus på konferens  <URL>  <HASCHTAG>   <HASCHTAG>,2
När vi paddlade kanot på Fängen <URL>,2
<ID> Den borde du ställa upp i  <HASCHTAG> med,3
"Folksam IT Liv och Pension söker en Områdesarkitekt, läs mer om rollen här! #nyttjobb #Områdesarkitekt #Folksam https://t.co/74oUEu5SBp https://t.co/wm1l3xqg0Z                                                                                                                                                                                                                                                                                                                                                     ",2
@Folksam @KimAhage Min provis kan ni skänka till nån bra välgörenhetsorganisation :)                                                                                                                                                                                                                                                                                                                                                                                                                                ,3
min instagram är så ful just nu att jag inte orkar bry mig längre,1
Svepningen i Turin Snökonst  <URL>,3
Den som inte sett dokun Dream Boat på Netflix kan med fördel göra det idag Den hade NÅGOT,3
<ID> Gäller det även föräldraförsäkringen?,2
<ID> Hahaha Så illa kan de väl ändå inte varit,1
Vet du varför du borde förhandla din boränta Tillsammans har vi svenskar har 3 000 miljarder kronor i bolån Läge  <URL>,2
" <ID> Göran Andersson, pressvärd på Bravida arena.",2
Solelens mörka baksida  <URL>,1
<ID> Var i islam finns det skrivet att det är OK med våldtäkt av otrogna kvinnor  <ID>,1
<ID> Va på det redan i oktober  <URL>,2
@FolksamMedia Sen hörde jag att ni arbetar med att totalt eliminera koldioxiden. Älskar försäkringsbolag som lägger ribban på en sån nivå.                                                                                                                                                                                                                                                                                                                                                                          ,3
<ID> skicka bild på din kuk,2
" <ID> ""Hans vän är Arab, han säger ställ dig som en Saab"" <ID>",2
Gefle IF tar fram snittar och skumpa för att fira nytt kontrakt med 10 min kvar mål i röven  <HASCHTAG>,1
<ID>  <ID> Hon har ett brett register,2
" Bästa <ID> Jag vill tacka. För livspulsen, modet och kärleken. För glädjen som sipprade in där jag befann mig. <URL>",3
@Folksam Vid flytt från lgh till bostadsrättsparhus och det ingår brf tillägg i avgiften. Då behöver vi inte ändra något i vår hemförsäkring mer än att vi flyttar?                                                                                                                                                                                                                                                                                                                                                ,2
@LoanSundman @ChristerKarls18 @FacketKommunal @Folksam Men fy då. Så borde det inte få gå till.                                                                                                                                                                                                                                                                                                                                                                                                                     ,1
<ID> Intressant att höra när Janne Från SVT debatterar just om detta,2
Tjuvlyssnat: Ekologen skriver om en gullig mossa som trivs på ruttna granar. Mossan är också karismatisk och syns nästan inte.,2
<HASCHTAG> blev attackerade – nu skärps säkerheten i Jönköping <URL> <HASCHTAG> <URL>,2
<ID> är ju normalt sett ganska segt att bussa hela vägen men med ett glatt crossgäng så kan det ju faktiskt gå lättare,3
<ID> Min polare Oklart,2
Finaste Ryhanna bor i ett jourhem i Umeå och letar efter en familj som kan ge henne tid och trygghet så att hon... <URL>,2
@kentlundgren @Folksam @svt Haha. Jo det går utmärkt.                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,3
<ID>  <ID> Ändå drar d miljarder tittare och ALLA dom STÖRSTA företagen står på rad och öser in pengar i d,2
Vd fyller på i Serneke uppdaterad  <URL>  <HASCHTAG>  <HASCHTAG>  <HASCHTAG>,2
<ID> jag håller två tummar för dig,3
<HASCHTAG> flaggar för veteraner redan i år <URL> <ID>,2
<ID> Men som sagt Äran borde räcka Tror inte någon som spelar i landslaget har ekonomiska bekymmer direkt,3
<ID>  <ID>  <ID> Det är allmänna val minst var fjärde år Så har vi byggt vår demokrati Du kans  <URL>,2
Stökfullt med obligatorisk info som vanligt  <URL>,1
Leifby Riktig hockey för riktiga supportrar  <URL>,3
@KonigLouise hållbarhetschef @CoopSverige: tänk på Sverige för 100 år sedan. Med det perspektivet förstår kan hur snabbt utvecklingen kan gå i de länder @weeffect verkar i #jämställdhetseffekten @riksbyggen @LRFSverige @FolksamMedia @hsbisverige                                                                                                                                                                                                                                                               ,2
<ID> OCH DET VAR FAN VÅRT BÄSTA ANFALL I FÖRSTA,3
Apple kan släppa iPad Pro med Face ID under 2018  KGI Securities   <URL>,2
" <ID> haha hans följdfråga ""öö tror du d finns mer än två kön då? för d e fel. Finns ju ba snopp å snippa å de e FACTS.""",1
Åt pannbiff med stekt potatis till lunch i stan före planeringsdagen Min mage har nu Formel1lopp i sig Känslig efter all nyttig mat,3
<ID> Hur går det med dig?? ❤,2
Drygt 6 av 10 vuxna har någon eller flera gånger misstänkt att ett barn eller en ungdom i deras närhet lidit av psykisk ohälsa. Av dessa svarar var fjärde att de aldrig agerat eller ingripit för att hjälpa. #Almedalen                                                                                                                                                                                                                                                                                           ,2
Men det räcker nu  <URL>,1
@SkandiaSE Vi vet alla vart de miljarderna hamnade.                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2
@StefanThelenius Trygg-Hansa klarade det idag                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,3
<ID>  <ID> den stora statens återkomst med ökade orätt visor på lager vad man får bo inte bo alls  <URL>,2
<ID> Ok Bra Ni  tar steg framåt i rätt riktning,3
<ID> Är av åsikten fotboll före kubb alla dagar i veckan men herrarna hade bokat planen först fair & square in  <URL>,2
" <ID> Tja, det kan man vara expert och ändå undra. <ID>",2
<ID> Helt jäkla otroligt vad lågt det är att göra en poäng av detta Vad fasen spelar det för roll om man  <URL>,1
<ID> Vi är så rädda för feghet att vi gör rätt dumma grejer,1
”Lär blivande lärare om språkstörning” <URL> <HASCHTAG>,2
<ID> nej givetvis inte ALL Men tillräckligt mycket för att jag ska tappa intresset,1
Undra var någonstans i mitt huvud som jag får för mig att det är ok att lägga upp det jag gör på min story när jag dricker alkohol,2
Helt korrekt Inget vi inom yrket har något att göra med Självbestämmanderätt  <URL>,3
Janne Anderssons aktier gick upp några procent på internationella marknaden tror jag,2
" KHK i underläge efter första, följ matchen här: <URL>",2
<ID> det ser ut som att jag ska hälla ut William i sanden  hahaha  <URL>,3
" Ah, låt oss alla sjunga den fria marknadens lov! <3 <URL>",3
De gea vår bästa målvakt nånsin Inget snack Ingen är i närheten Den som säger annat har ingen koll o vanlig ordning när HENDKE snackar,3
FBI-räd mot Trumps förre kampanjchef Paul Manafort <URL>,2
JUST NU Örebroare döms till långt fängelsestraff för 30 fall av grova barnvåldtäkter  <HASCHTAG>  <URL>,1
<ID> Vad är Facebook,2
<ID> Har CL fått in PL domare  Solklart straff,1
Ända sen man kommit på att de gula tröjorna slits snabbt så har det gått bra för VIK <HASCHTAG>,2
<ID> Ja han är kul vår Pekka.,3
<ID>  <ID>  <ID>  <ID>  <ID> Hej då din ensamma rasist,1
Heinö: Skilj de nationella värderingarna från lagen <URL>,2
<ID> Det är inte rasism det är bara så att vita e bättre,2
<ID> Detta är jättejätteviktigt!!,2
Regnet kommer när <ID> börjar tala. <HASCHTAG> <URL>,2
" <ID> Hahahahha åh tro mig!!! Där va många illa, men dom tog jag såklart bort",3
Hopp då har man tappat bort sin favvo läppstift för ANDRA gången alltså naaaah har inte ork för detta,1
" <ID> Tänkte att det kunde vara kul för dig att Snedtänkt rekommenderas av podden Mediespanarna, senaste programmet, ca 17.40.",2
<ID> Du är född i Sovjetunionen och har fortfarande dina rötter i Ryssland  vår fiende Någon förvånad  <ID>,1
<ID> HUH På riktigt,2
@anderssvendssen @JHuitfeldt Förutom att Trygg Hansa svarar när man ringer.                                                                                                                                                                                                                                                                                                                                                                                                                                         ,2
Det blåser småkallt i Visby men det värmer ändå gott med den härliga stämningen hos @SkandiaSE Fint att att följa partiledartalen på första parkett. #almedalen #almedalen18 #svpol #almedalsveckan @KennyFredman #skandia https://t.co/cqbKwSyuuo                                                                                                                                                                                                                                                                  ,3
<ID> Jag är övertygad att de kommer få upp de amerikanska marginalerna igen och när det kommer till krit  <URL>,2
<ID> Jag vet Men skall man sitta och tänka så om allt får man aldrig förändring,2
" Himlen är lila, jag har hämtat andan och visionfack gäng är redo för ny dag ‍ <URL>",2
<ID> Vi är så överlägsna att vi bara behöver lira med 10 man från start,3
Höll jag på att gå av vid fel station pga tyckte jag suttit tillräckligt för länge på tåget. Förvirringen!!,2
Lopp 3 Share Market. Vanlig vagn och öppet huvudlag. Har tränat bra en längre tid och kommer att få ett bra lopp från det här läget,3
<ID> Finns säkert nån diagnos jag borde få. ;) <ID>,2
Till mig Från mig <URL>,2
han är så söt  <URL>,3
Sämre än väntat för Telia <URL>,1
" Spelarna i Surahammar lägger sig som käglor och domarna kan inte hantera rejäl innebandy tyvärr. I <HASCHTAG> råder krig, det är sen gammalt! <HASCHTAG>",1
Ni verkar inte ens finnas på Twitter. Bara det. #TryggHansa                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,1
Det finns sidor av Sverige som jag aldrig kommer att förlika mig med Som t ex hur det är möjligt att årsdagen  <URL>,1
<ID> vrf vill du vara perfekt? Låter jättetråkigt.,1
Bokpost från ordalagetbokforlag <HASCHTAG> <URL>,2
" ""Vinn din drömresa varje vecka!"" Ja tack! Och då vill jag inte till… <URL>",2
<ID>  <ID>Värda varje krona för att minska kriminella och vänsteraktivisters möjlighet att ljuga ihop händelseförlopp <HASCHTAG>,1
"@SkandiaSE Alla banker är skurkar och bedragare, för varje decennium blir de värre och värre och får allt större makt. Se på skurkarena i HSBC.                                                                                                                                                                                                                                                                                                                                                                     ",1
<ID>  <ID> men det var inte mänskligt att stå där när det var 556 tusen måste varit en glädjekalkyl,2
<ID> Bästa hade varit om vi skickade Malmis så fick han springa med dig på ryggen. Tror dock tvärbana är… <URL>,2
<ID> och ska vi då ens ha domare i framtiden kanske man ska skapa en miljö där personer känner att de vill och vågar vara i,2
Rekommenderas verkligen På Galleri Kontrast Hornsgatan  <URL>,3
<ID> Gamla fina värendsvallen!,3
<ID> Skit i den sopan nu han är inget att ha Du förtjänar bättre,1
Ser man verkligen ut så som man gör på bild,2
@BWFCMansWi @SkandiaSE Det är ju sant. Och pensionsåtagandena / skulden bara ökar                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2
<ID> det kan ju också vara intressant När jag twittrade om det här flydde dom lättkränkta,3
" Ursäkta, va? Grejen med ideell sektor är väl just att aktörerna där inte ska fungera som företag. <URL>",1
Önskar jag va full oj lesbo,2
Hjärtskärande tweetar Svantesson men har inte kniven använts längre söderut  <URL>,2
Tunggung med countrygänget Island Country i Ljungby  <URL>,2
" Såhär glad och excited är jag idag för jag har äntligen, efter många om och men, fått mitt visum… <URL>",3
@FolksamMedia Du har besvarat den 👌 Tack!                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,3
Naturligtvis blir USA:s ambassader fronter för reklam för Trumps business. Inget att förvånas över. <URL>,2
Så kan undervisningen öka förståelsen för miljöproblem <URL>  <ID>  <URL>,2
Lugn och ro  elevers hälsa  Nya Moderaterna  <URL>  <HASCHTAG>  <HASCHTAG>  <HASCHTAG>,3
<ID> Begreppet frikännande kräver prövning i domstol.,2
Trötta kroppar som bidragit till cancerforskningen genom att springa #almedalsloppet med @Cancerfonden och @SkandiaSE. #almedalen https://t.co/hZWgKugjas                                                                                                                                                                                                                                                                                                                                                           ,2
"Viktig artikel i @dagensindustri  Sverige behöver investera enorma belopp i fossilfria lösningar! Därför så glädjande att @Folksam och @KPA vill vara med och finansiera omställningen. Håll utkik efter @FossilfrittSE finansieringskonferens den 4 december! 

https://t.co/lm4sxp4pFS                                                                                                                                                                                                                            ",2
Haha lyssnar på Sparpodden då <ID> och <ID> ger festtips och vill ordna fest med <ID> på en gång.,2
<ID> hur ofta gör man det,2
"Precis pratat med bästa Skandiabanken och fått ned vår bolåneränta till 1,09% från och med 1 juli. Så nöjd med Skandiabanken och deras fina bemötande! Rekommenderas varmt 🙏🏻 @SkandiaSE                                                                                                                                                                                                                                                                                                                          ",3
<ID> Det verkar inte vara något större problem med din hjärna vad jag kan se?,3
<ID> haha så fint sagt ja det är ju lite för modernt för min kompetens,3
Förstår inte kuskar som ger upp spetskörningen för att de inte har grepp efter 50m. Ganska ofta man kan komma förbi på snabbhet in i svängen,2
" Stora kunskapsluckor inom vården av äldre, barn och ungdomar <URL>",1
<ID> Skapliga odds på den,3
@SteffRidderwall @SkandiaSE Nej det har du ju rätt i.                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,2
Vilket är ditt andedjur? <URL>,2
" Då är det alldeles strax dags igen. Läget, för närvarande: <URL>",2
Släpper in tre mål mot Osasuna OSASUNA Väck mig i augusti Kanske redo för en ny säsong då Kanske,1
<ID> Lingonveckan?,1
Hyfsat nöjd son som kom efter dagens match och fått ett grönt kort av motståndarlaget ⚽️ <URL>,2
" <ID> Vanligt bland manliga ""högerskribenter"" att de gillar progg.",2
<ID>  <ID>  <ID> Men då blir samhället en fiende istället för ett överlevnadsinstitut och dess värde går förlorat,1
Disruptiva krafter ska inte underskattas. Finns massor av exempel. Se digital vs. analog kamera.,2
Webbutvecklare till Humbly  Webbutvecklare till Humbly Är du webbutvecklare och har ett brinnande intresse för kommunikation och kreativa,3
<ID> Men är du ironisk nu!!!! Har ALLTID gått på premiären fattar inte hur jag kunde missat detta,2
"För att fler ska få mer att leva på i framtiden är det hög tid att det blir lättare att spara till sin pension i Sverige. Läs Frans Lindelöw och @MattiasMunter på @SvDDebatt om vårt nya politiska förslag som uppmuntrar till pensionssparande. 

https://t.co/9fmxt4CSYK #pension80                                                                                                                                                                                                                              ",2
Bolsjevikerna påstod att de hade gjort revolution  la Marx och inte en blodig kupp och folk i Väst gick på att de hade störtat Tsarväldet,2
<ID> Du är alltid hjärtligt välkommen tillbaka,3
När började journalisterna bekriga sitt eget folk Del 1  Wärmler  <URL>,2
<ID> Tror du har rätt,3
<HASCHTAG> Motala AIF FK ställer upp enl följande i morgondagens match vs Skövde AIK <URL>,2
@MagnusX71 @Folksam Varför ha två liksom? För inte får man väl ersättning från båda om något händer?                                                                                                                                                                                                                                                                                                                                                                                                                ,2
Det är för dålig kvalitet när vi går till anfall Den sista passningen lämnar en del övrigt att önska,1
Tack för förtroendet nu dag 2 m motioner o framtidsfrågor viktigt för 13 milj anhöriga som vårdar o stödjer närst  <URL>,3
Speciellt med tanke på dessa nya riktlinjer. Inte kul om FK stirrar sig blind på detta & inte ser individuella beho… <URL>,1
Tystnadskulturen och skuldbeläggandet av offren är en skam för svensk frikyrklighet. Det är dags att sanningen får… <URL>,1
Samhällsförlusterna av sjukskrivningar uppgår till 57 miljarder på 1 år. Vad krävs för att minska sjukskrivningarna med hjälp av förebyggande arbete? Missa inte seminarium hos oss den 3 juli: https://t.co/bckL1PKlhH   #sjuknotan #skandia https://t.co/J3tmygcuGr                                                                                                                                                                                                                                               ,2
" <ID> Shit, du är fire! Detta kommer skapa så jävla mycket drama",3
"@Folksam Om Folksam verkligen vore ""kundägt"" borde ju rimligtvis den politiska representationen vara mindre åt socialdemokrati-hållet och istället bredare, eller hur? Kommentera gärna också siffran 195.000 kr i månadslön. Stackars Stefan Löfven, han får bara 172.000kr... @folksam                                                                                                                                                                                                                            ",2
" <ID> Jupp, fördelningen oviktig så länge välstånd skapas och de fattigaste får det bättre. Ekonomin är inget nollsummespel",2
" <ID> Den svenska rikedomen då? Är det ok att den normaliseras? Det är ju samma sak, bara olika synvinklar.",2
<ID> Snygg spegling i koppen. Kram,3
" Hot mot rikets säkerhet finns i 3 departement 1,5 år utan info till Statsministern; han har ändå förtroende för Statsråden. Finns fler hot?",1
Alla som är lyckliga är töntar,3
Har inte mkt till övers för den här Assange men det här ändå intressant  <URL>,3
Fotokurs med fotografen Helen Shippey i Västerås och Köping <URL>,2
<ID>  <ID> precis så ska det göras,3
<ID> Ögonbrynen var ett bra beslut,3
<ID> Om en kvart är jag i Linköping där jag ska byta tåg.,2
<ID> Hade väl varit konstigt om de inte gjorde det,2
<ID> Jaja men jag är ju en erkänd shitlord. Vi gör sånt.,1
<ID>  <ID> Ronson som tändaren Tänder eld varje gång Eller tommie cooker eller vad det var  <URL>,2
BÖDELSKYSSEN är Månadens Bok och jag blir intervjuad: Vad kan läsarna förvänta sig? - Spänning med riktigt hög... <URL>,2
<ID> Om det gör skillnad vet jag inte men kändes bara märkligt att såga något man timmar innan tog rygg på  <URL>,1
<ID> Nämen Lasse Lindberg en god vän till mig Hälsa,3
"Korsbandet av, 1 år utbildning åt helvete. Ingen fotboll på mer än 1 år. Så har ni mage att inte ge ut en krona, de är ju för fan skandal!!!😡😡1 år av livet förstört, är det något ni vill ha på era axlar? @trygghansa                                                                                                                                                                                                                                                                                           ",1
" <ID> HIF 8 a-lagsspelare med idag därav oddsen, dock urusel kvalite på dessa spelare..",1
Vem fan kommer ens på att ringa Pelle Bäckman 2017,1
" På kursintro för termin6, sällan en är med om ngt så tråkigt. Tänker tillbaka på hur pepp en var kursintro termin1, var tog glöden vägen?",2
Månadens andra snok <URL>,2
